#OTU ID,Actinokineospora,Amycolatopsis,Aeromicrobium,Anaeromyxobacter,Anaerospora,Arthrobacter,Azoarcus,Bacillus,Corallococcus,Dechloromonas,Desulfococcus,Dokdonella,Geodermatophilus,Glycomyces,Haliangium,Haloactinospora,Halomonas,Inquilinus,Jiangella,Luteolibacter,Lysobacter,Methylibium,Methylobacterium,Methylobacillus,Methylotenera,Methylonatrum,Methylophaga,Mycobacterium,Nocardia,Nocardioides,Paenibacillus,Paracoccus,Phaeobacter,Phaeospirillum,Pimelobacter,Pleomorphomonas,Prauseria,Promicromonospora,Pseudomonas,Pseudonocardia,Ralstonia,Rhodanobacter,Rhodococcus,Rhodoplanes,Rhodospirillum,Rhodovibrio,Rubellimicrobium,Saccharopolyspora,Sphingomonas,Sporocytophaga,Streptomyces,Thermomonas,Variovorax,class
LC22,0.000129699,0.173407406,0,0,0,0.001124057,0,0.007825166,0,0,0,0,0.000108082,0.001513154,0,0,0.000108082,8.65E-05,0,0,0,0,2.16E-05,0,2.16E-05,0,0,0.003782884,0.000756577,2.16E-05,8.65E-05,0.000821426,0,0,0.00036748,0,8.65E-05,0,0.014655974,0.000237781,0.001578003,0,0.00036748,0.000324247,0,0,4.32E-05,0.003739651,0.000389097,4.32E-05,0.117723352,0,6.48E-05,1
LC23,0,0.00067209,4.20E-05,0,0.00022403,0.000126017,0,0.001442193,2.80E-05,0,0,0,2.80E-05,0,0,0,0.013763844,0.000308041,0,1.40E-05,1.40E-05,0,1.40E-05,0,1.40E-05,0,0.000686092,2.80E-05,0.000140019,0,8.40E-05,0.000168023,0,0,1.40E-05,1.40E-05,0,0,0.002716364,0,0.000308041,0,5.60E-05,0.000126017,5.60E-05,0,0.000364049,0,0.000112015,0,0.000770103,0,0,1
LC24,0,0.0007541,0,0,0.000104736,0.004671233,0,0.001612937,8.38E-05,2.09E-05,0,0,2.09E-05,0,0,0,4.19E-05,0.000104736,0,0,8.38E-05,0,2.09E-05,0,0.001340623,0,0,0.008357946,0.000418945,4.19E-05,0.000125683,0.000356103,0,2.09E-05,0.000356103,0.000335156,0,2.09E-05,0.012505499,4.19E-05,0.002115671,0,6.28E-05,0.003791449,0,2.09E-05,0.000502734,4.19E-05,0.000586523,4.19E-05,0.024047425,0,0.005844278,1
LC25,0,0.487532572,1.06E-05,1.06E-05,5.30E-05,9.53E-05,0,0.001324068,3.18E-05,0,0,0,5.30E-05,9.53E-05,0,0,0.001504142,2.12E-05,5.30E-05,0,0,0,2.12E-05,0,0,0,1.06E-05,0.000254221,0.000794441,0,0.000169481,0,0,0,6.36E-05,0,0,0,0.022805754,6.36E-05,0.002626952,0,0,2.12E-05,0,0,6.36E-05,1.06E-05,0.001027477,0,0.000476665,0,1.06E-05,0
LC26,0,0.005370477,1.23E-05,0,2.45E-05,0.000441409,0,0.001005432,1.23E-05,0,0,0,2.45E-05,8.58E-05,0,0,0.000686636,3.68E-05,0.000110352,0,1.23E-05,0,2.45E-05,8.58E-05,0,0,3.68E-05,0.056868203,0.000294273,0.000159398,0.000404625,6.13E-05,0,0,0.000367841,6.13E-05,0,0,0.010998443,3.68E-05,0.002133477,0,2.45E-05,0.000380102,0,0,0.000110352,2.45E-05,0.000306534,0.000245227,0.001508148,0,0.009428988,0
LC27,0,0.00482704,1.02E-05,1.02E-05,0.000223568,0.000487785,0,0.001493842,0,0,3.04866E-05,0,0,9.15E-05,0,0,0.001564977,4.06E-05,2.03E-05,0,1.02E-05,0,2.03E-05,0,0,0,2.03E-05,0.000691029,0.000548758,0.000203244,0.00065038,0.000345514,0,0,3.05E-05,0,0,0,0.013414089,4.06E-05,0.001880005,0,0,1.02E-05,0,2.03E-05,2.03E-05,0,0.000518272,0,0.000752002,0,2.03E-05,0
LC28,0,0.000849442,0,0,0,0.000445439,0,0.00065262,1.04E-05,0,1.0359E-05,0,1.04E-05,5.18E-05,0,0,0.00043508,1.04E-05,1.04E-05,0,0,0,4.14E-05,0,0,0,1.04E-05,0.002962687,0.000165745,3.11E-05,0.000176104,0,0,0,3.11E-05,0,0,0,0.003045559,0,0.000290053,0,0,3.11E-05,0,1.04E-05,2.07E-05,1.04E-05,3.11E-05,0,0.000186463,0,3.11E-05,0
LC29,0,0.004735905,8.04E-05,0,0,0.00044242,0,0.001819955,0,0,0,0,1.01E-05,6.03E-05,0,0,0.0004022,4.02E-05,5.03E-05,0,0,0,0.00016088,0,0,0,0,0.00112616,0.000492695,4.02E-05,7.04E-05,3.02E-05,0,0,0.000231265,0,0,0,0.011392316,6.03E-05,0.001397645,0,0,1.01E-05,0,4.02E-05,1.01E-05,0,0.000452475,0,0.0004022,0,3.02E-05,0
LC30,9.86E-06,0.014075755,9.86E-06,0,9.86E-06,0.000641152,0,0.001479582,0,0,0,0,0.000108503,0.000138094,0,0,0.000621424,0.00012823,8.88E-05,0,5.92E-05,0,7.89E-05,0,0,0,4.93E-05,0.060327481,0.000434011,2.96E-05,7.89E-05,9.86E-06,0,0,0.000315644,0,9.86E-06,0,0.011856382,0.000295916,0.001607812,0,9.86E-06,0.001213257,0,9.86E-06,1.97E-05,4.93E-05,0.000493194,9.86E-06,0.046636417,0,0.000197278,0
LP.15,0,0.014979517,0,8.34E-05,0,7.30E-05,0,0.001438534,1.04E-05,0,0,0,0,0.027978443,0,0,0.00055248,0.001104961,0.001459382,0,1.04E-05,0,4.17E-05,0,0,0,0,0.000354421,0.000333573,0,0.001761683,0,0,0,4.17E-05,0,0,1.04E-05,0.006118981,0.000583753,0.000656722,0,0,0.000135514,0,0,0,7.30E-05,0.000239756,1.04E-05,0.003127248,0,4.17E-05,0
